date,open,high,low,close,volume,amount,outstanding_share,turnover,ma5,ma10,ma20,ma60,rsi,ema_fast,ema_slow,macd,signal,histogram,bb_middle,bb_std,bb_upper,bb_lower,daily_return,cumulative_return
2026-04-22,12278.16,12312.87,12191.22,12230.44,2691593.0,3793827534.0,1252270215.0,0.002149370772984487,,,,,,12230.44,12230.44,0.0,0.0,0.0,,,,,,
2026-04-23,12217.42,12318.94,12192.26,12312.87,3770109.0,5332831151.0,1252270215.0,0.00301061939734788,,,,,,12243.121538461539,12236.545925925926,6.5756125356128905,1.3151225071225783,5.260490028490312,,,,,0.0067397411703913335,0.0067397411703913335
2026-04-24,12261.67,12658.91,12261.67,12655.53,5545531.0,8003410999.0,1252270215.0,0.004428382096431161,,,,,,12306.568994082842,12267.581783264746,38.987210818095264,8.849540169317116,30.137670648778148,,,,,0.027829417511920473,0.03475672175326494
2026-04-27,12321.55,12321.55,12167.09,12175.77,7279774.0,10239763452.0,1252270215.0,0.005813261317566353,,,,,,12286.44607191625,12260.780910430321,25.665161485929275,12.21266443263955,13.452497053289726,,,,,-0.037909119570654126,-0.004469994538217614
2026-04-28,12165.36,12229.48,12148.96,12191.39,3400442.0,4772513712.0,1252270215.0,0.0027154219267284895,12313.2,,,,,12271.822060852213,12255.640842991039,16.181217861174446,13.00637511834653,3.1748427428279165,,,,,0.0012828757442033822,-0.003192853241584026
2026-04-29,12191.39,12232.61,12150.43,12158.16,3481313.0,4881691348.0,1252270215.0,0.002780001439226118,12298.744,,,,,12254.335589951872,12248.420039806519,5.915550145353336,11.58821012374789,-5.672659978394554,,,,,-0.0027256941169135906,-0.005909844617200899
2026-04-30,12148.0,12158.16,11974.46,12016.02,5275267.0,7316111748.0,1252270215.0,0.004212562861283097,12239.374,,,,,12217.6716530362,12231.205222043072,-13.533569006873222,6.563854297623668,-20.09742330449689,,,,,-0.01169091375668685,-0.01753166689015262
2026-05-06,11845.17,11965.78,11801.35,11931.08,4780604.0,6550750940.0,1252270215.0,0.003817549872812395,12094.484,,,,,12173.580629492168,12208.973724113957,-35.393094621789714,-1.8275354862590092,-33.565559135530705,,,,,-0.007068896356697163,-0.024476633710643125
2026-05-07,11931.08,12043.88,11887.78,11896.8,4046147.0,5573286315.0,1252270215.0,0.003231049458442961,12038.689999999999,,,,,12130.99899418568,12185.849744549962,-54.85075036428134,-12.432178461863476,-42.41857190241787,,,,,-0.002873168229531653,-0.02727947645383144
2026-05-08,11902.09,11998.5,11887.69,11913.63,3336853.0,4582855939.0,1252270215.0,0.00266464295008406,11983.138,12148.169,,,,12097.557610464806,12165.685319027742,-68.12770856293537,-23.571284482077857,-44.55642408085751,,,,,0.0014146661287068873,-0.025903401676472648
2026-05-11,11912.77,11912.77,11809.59,11812.46,5713510.0,7790721392.0,1252270215.0,0.004562521675882869,11913.998,12106.371,,,,12053.696439624067,12139.520480581243,-85.82404095717538,-36.021835777097365,-49.80220518007802,,,,,-0.00849195417349713,-0.034175385349995535
2026-05-12,11818.27,11831.98,11718.48,11753.63,5083743.0,6886304982.0,1252270215.0,0.004059621429229633,11861.52,12050.447,,,,12007.532371989597,12110.936000538188,-103.40362854859086,-49.498194331396064,-53.905434217194795,,,,,-0.004980334324941604,-0.0389855148302104
2026-05-13,11753.19,11788.77,11610.02,11662.86,5696787.0,7653257144.0,1252270215.0,0.0045491675293099585,11807.876,11951.18,,,,11954.505853221968,12077.745185683507,-123.23933246153865,-64.24642195742459,-58.992910504114064,,,,,-0.007722720555266682,-0.04640716114874022
2026-05-14,11610.02,11879.53,11585.55,11646.2,5524434.0,7428592859.0,1252270215.0,0.004411535093486193,11757.756,11898.223,,,30.516500813702194,11907.074183495512,12045.778875632875,-138.70469213736396,-79.13807599341247,-59.56661614395149,,,,,-0.0014284660880778954,-0.0477693361808732
2026-05-15,11585.29,11621.13,11515.53,11566.2,5818365.0,7749366540.0,1252270215.0,0.004646253604298973,11688.27,11835.704000000002,,,28.970696249018545,11854.632001419279,12010.254514474886,-155.62251305560676,-94.43496340585133,-61.187549649755425,,,,,-0.006869193384966721,-0.054310392757741965
2026-05-18,11592.67,11650.63,11450.45,11479.86,4966097.0,6594983723.0,1252270215.0,0.003965675251646866,11621.75,11767.874,,,23.69270415542904,11796.974770431696,11970.96603192119,-173.99126148949472,-110.34622302258,-63.64503846691471,,,,,-0.007464854489806494,-0.06136982806832769
2026-05-19,11470.32,11540.52,11436.48,11491.14,4325464.0,5719170335.0,1252270215.0,0.0034540979639925396,11569.252,11715.385999999999,,,3.4932300195708734,11749.923267288359,11935.423362889991,-185.50009560163198,-125.37699753839041,-60.12309806324157,,,,,0.0009825903800220193,-0.06044753909098921
2026-05-20,11462.51,11566.55,11401.77,11410.45,4748733.0,6271273748.0,1252270215.0,0.0037920992954384052,11518.77,11663.323,,,5.127934520040114,11697.696610782457,11896.536447120363,-198.83983633790558,-140.06956529829347,-58.77027103961211,,,,,-0.007021931679537352,-0.06704501228083348
2026-05-21,11392.92,11484.38,11375.74,11375.74,3886838.0,5112740391.0,1252270215.0,0.0031038333048590476,11464.678000000002,11611.217,,,3.2241045109934845,11648.164824508234,11857.958932518854,-209.7941080106193,-154.01447384075863,-55.779634169860685,,,,,-0.0030419483894150723,-0.06988301320312251
